id,name,cat,cost,active,duration,castRange,cooldown,desc,stat_type,stat_val,cond_type,cond_val
,,,,,,,,,Out of Combat Regen,1.5,,
122,Mystic Slow,Spirit,1600,Passive,,,,"When the target takes Spirit Damage, they have their Move Speed reduced. 2s Duration",Bonus Health,50,Move Speed m/s,30
,,,,,,,,,Sprint Speed m/s,0.75,,
123,Mystic Vulnerability,Spirit,1600,Passive,,,,"When the target takes Spirit Damage, they have their Spirit Resist reduced. 7s Duration",Spirit Resist %,8,Spirit Resist %,-8
124,Quicksilver Reload,Spirit,1600,Imbue,,,,"Your Imbued ability charges up over time with bonus spirit damage, bonus fire rate and bonus bullets on use. 44 Damage. +10% Fire Rate. 100% Bullets Reloaded. (18s)",,,,
125,Slowing Hex,Spirit,1600,Active,,,,Slows movement of enemy target. Also Silences their movement-based items and abilities. Does not affect target's stamina usage. 25m Cast Range. 3.5s Duration. (27s),,,,
126,Spirit Sap,Spirit,1600,Active,,,,Target an enemy to reduce their Spirit Resist and Spirit Power. -30 Spirit Power. 12s Duration. 40m Cast Range. (18s),Bonus Health,75,Spirit Resist %,-12
127,Suppressor,Spirit,1600,Passive,,,,"When you deal Spirit Damage to enemies, you also reduce their Fire Rate. 5s Duration",Spirit Power,6,Fire Rate %,-30
,,,,,,,,,Bonus Health,75,,
128,Decay,Spirit,3200,Active,,,,"Inflict damage over time to a target, dealing damage based on their current health. 2.63%/sec Bleed Damage. 21m Cast Range. 10s Duration. (36s)",Spirit Power,8,Healing Effectiveness %,-50
,,,,,,,,,Bonus Health,90,,
129,Disarming Hex,Spirit,3200,Active,,,,Disarms enemy target and reduces their Bullet Resist. Disarm Status Effect. 32m Cast Range. 4s Duration. (16s),Bonus Health,100,Bullet Resist %,-13
,,,,,,,,,Sprint Speed m/s,0.75,,
130,Greater Expansion,Spirit,3200,Passive,,,,Increases the range and effect radius of your abilities and items. +30% Ability Range,Spirit Resist %,10,,
,,,,,,,,,Ability Range %,30,,
131,Knockdown,Spirit,3200,Active,,,,Apply a Stun after 2s. Stun duration is increased against airborne targets. Stun Status Effect. 0.5s Stun Duration. 48m Cast Range. (35s),Bonus Health,100,,
,,,,,,,,,Ability Range %,5,,
132,Rapid Recharge,Spirit,3200,Passive,,,,Reduces cooldown of charged abilities by 14%.,Bonus Ability Charges,2,,
,,,,,,,,,Imbued Spirit Power,10,,
133,Silence Wave,Spirit,3200,Active,,,,Launch an expanding projectile which Silences enemies for a short duration. Affected enemies also have their Spirit Resist and Spirit Power reduced for a longer duration. Silence does not interrupt channelling abilities. 100 Impact Damage. 3s Silence Duration. 40m Cast Range. (42s),Bonus Health,75,,
134,Spirit Snatch,Spirit,3200,Passive,,,,"When you perform a Light or Heavy Melee attack against a hero, the attack deals extra Spirit Damage and steals Spirit Resist and Spirit Power. 50 Spirit Damage. 10s Duration. (6s)",Melee Damage %,7,Spirit Resist %,12
,,,,,,,,,Bonus Health,100,Spirit Power,15
135,Superior Cooldown,Spirit,3200,Passive,,,,Reduces the Cooldown of your abilities and items. +20 Cooldown Reduction,Out of Combat Regen,4,,
,,,,,,,,,Cooldown Reduction %,20,,
136,Superior Duration,Spirit,3200,Imbue,,,,Increases the duration of your abilities and items. +28% Ability Duration,Bullet Resist %,8,,
,,,,,,,,,Ability Duration %,28,,
137,Surge of Power,Spirit,3200,Imbue,,,,"Imbue an ability with permanent Spirit Power. When that ability is used, gain bonus Move Speed and maintain full speed while attacking. +24 Imbued Ability Spirit Power. 8s Move Speed Duration. (14s)",Imbued Spirit Power,24,Fire Rate %,22
,,,,,,,,,,,Move Speed m/s,1.75
138,Tankbuster,Spirit,3200,Passive,,,,"Charges up over time with bonus spirit damage, causing abilities dealing more than 165 damage to deal additional damage. 40 Damage. 8% Current Health Bonus Damage. (14s)",Bonus Health,75,,
139,Torment Pulse,Spirit,3200,Passive,,,,Periodically deals Spirit Damage to the closest two enemies nearby. 27 Pulse Damage. 9m Pulse Radius. (1.4s),Bonus Health,125,,
,,,,,,,,,Melee Resist %,15,,
140,Radiant Regeneration,Spirit,3200,Passive,,,,Dealing Spirit Damage to enemy Heroes grants you Bonus Health Regen. Stacks when dealing damage to different heroes. 4HP/s Regeneration. 5s Regeneration Duration. Heal and gain bonus Movement Speed for a short duration when you cast an ability. 70 Healing on Ability Cast. +1.75m/s Move Speed. 3s Duration. (6s),Bonus Health,90,,
141,Arctic Blast,Spirit,6400,Active,,,,"Release an expanding ice blast that deals Spirit Damage, Freezing and then Slowing targets it hits. Targets take increased damage while frozen. 175 Damage. 0.75s Freeze Duration. 15% Frozen Bonus Damage. 12m End Radius. (24s)",Spirit Resist %,10,,
142,Boundless Spirit,Spirit,6400,Passive,,,,,Spirit Power %,15,,
,,,,,,,,,Spirit Power,35,,
,,,,,,,,,Bonus Health,100,,
,,,,,,,,,Out of Combat Regen,4,,
143,Cursed Relic,Spirit,6400,Active,,,,"Curses an enemy - interrupting, Silencing, Disarming, and preventing item usage. Silenced Status Effect. 3.25s Duration. 20m Cast Range. (55s)",,,,
144,Echo Shard,Spirit,6400,Imbue,,,,Reset the cooldown of the imbued non-ultimate ability. (35s),Fire Rate %,5,,
,,,,,,,,,Spirit Resist %,5,,
,,,,,,,,,Bullet Resist %,5,,
145,Escalating Exposure,Spirit,6400,Passive,,,,Dealing Spirit Damage applies a stacking Spirit Amp that increases your Spirit Damage to the target. +4.5% Spirit Amp per Stack. 12 Max Stacks. 12s Duration. (0.7s),Spirit Resist %,17,,
146,Ethereal Shift,Spirit,6400,Active,,,,"You enter a void state and become untargetable and invincible for a short duration, during which you float slowly and cannot perform actions. Afterwards, you gain Spirit Power, Move Speed, and Spirit Resist. Can be cancelled early. Activation cancels any active ability. +20 Spirit Power. +30% Spirit Resist. +2.5m/s Move Speed. 3.0 Duration. 5s Buff Duration. (35s)",,,,
147,Focus Lens,Spirit,6400,Active,,,,Target an enemy to silence them. A portion of all damage dealt during the silence gets applied to the target when the silence wears off. 4.25s Duration. 30% Damage On Expire. 20m Cast Range. -9% Spirit Resist Reduction. -30 Spirit Power Reduction. 12s Resist Reduction Duration. (43s),Fire Rate %,13,,
148,Lightning Scroll,Spirit,6400,Passive,,,,Damage from your ultimate applies a stun and deals bonus spirit damage after a short delay. This effect can only trigger once per ultimate and cannot activate on ultimate with charges. Stun Status Effect. 0.75s Stun Duration. 150 Damage. 3s Delay Before Effect,Bonus Health,75,,
,,,,,,,,,Sprint Speed m/s,0.75,,
149,Magic Carpet,Spirit,6400,Active,,,,Summon a Magic Carpet that will fly you away. While flying you are immune to slows and doing any actions will dismiss the carpet. Cannot use abilities while the carpet is being summoned. 12s Duration. +7m/s Bonus Fly Speed. 1.3s Summon Duration. (32s),Ability Duration %,15,,
,,,,,,,,,Spirit Power,104,,
,,,,,,,,,Bonus Health,125,,
150,Mercurial Magnum,Spirit,6400,Imbue,,,,"Your imbued ability charges up over time with bonus spirit damage, bonus fire rate, and bonus bullets on use. Until your next reload, your bullets deal bonus Spirit Damage based on your Spirit Power. +28% Base Bullet Damage. 60 Damage. +25% Fire Rate. 100% Bullets Reloaded. (14s)",Max Ammo %,20,,
,,,,,,,,,Spirit Power,7,,
,,,,,,,,,Base Bullet Damage %,28,,
151,Mystic Reverb,Spirit,6400,Imbue,,,,Imbue an ability to apply slow on a hit target and deal an additional percentage of the damage dealt to enemies around the target after a short delay. 16m Radius. 3s Delay Duration. (6.25s),Spirit Lifesteal %,8,Move Speed m/s,40
152,Refresher,Spirit,6400,Active,,,,Reset the cooldown of all your abilities and restore all your charges. (300s),,,,
153,Scourge,Spirit,6400,Active,,,,Apply Spirit Resistance and an aura on a friendly target that deals damage to enemies proportional to their max health. Can be self-cast. 3.5% Max Health per second. 10s Duration. 35m Cast Range. 10m Radius. (35s),Bonus Health,125,Spirit Resist %,40
,,,,,,,,,Debuff Resist %,15,,
154,Spirit Burn,Spirit,6400,Passive,,,,"Dealing significant Spirit Damage to an enemy within 5s causes an explosion dealing damage and a burn to nearby enemies. While burning, enemies take damage over time and receive reduced healing. Deals half-damage to non-heroes and does not expend its cooldown unless a hero is hit. 500 Damage Threshold. 110 Explosion Damage. 24 Damage Per Second. 13.2m Explosion Radius. 8s Debuff Duration. -70% Healing Reduction. (20s)",Ability Range %,6,,
155,Vortex Web,Spirit,6400,Active,,,,"Throw a vacuum grenade, pulling all enemies into a small area and applying Slowing Hex. 11m Capture Radius. 4s Duration. -40% Dash Distance. (42s)",Ability Range %,8,,
156,Transcendent Cooldown,Spirit,6400,Passive,,,,Reduce the Cooldown of your abilities and items. +25% Ability Cooldown Reduction. +25% Item Cooldown Reduction,Out of Combat Regen,4,,
,,,,,,,,,Cooldown Reduction %,25,,
,,,,,,,,,Item Cooldown Reduction %,25,,
